127.0.0.1 - - [28/Aug/2024:18:36:26 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [28/Aug/2024:18:38:29 +0530] "GET /TAPFOODS/ HTTP/1.1" 200 839
0:0:0:0:0:0:0:1 - - [28/Aug/2024:18:38:29 +0530] "GET /TAPFOODS/images/tapvineethahomeimg.jpg HTTP/1.1" 200 26266
0:0:0:0:0:0:0:1 - - [28/Aug/2024:18:38:29 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [28/Aug/2024:18:38:31 +0530] "GET /TAPFOODS/home.jsp HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [28/Aug/2024:18:38:35 +0530] "GET /TAPFOODS/home HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Aug/2024:18:38:35 +0530] "GET /TAPFOODS/home.jsp HTTP/1.1" 200 2557
0:0:0:0:0:0:0:1 - - [28/Aug/2024:18:38:35 +0530] "GET /TAPFOODS/images/restaurants/masala.jpeg HTTP/1.1" 200 5557
0:0:0:0:0:0:0:1 - - [28/Aug/2024:18:38:35 +0530] "GET /TAPFOODS/images/restaurants/namaste.jpeg HTTP/1.1" 200 14683
0:0:0:0:0:0:0:1 - - [28/Aug/2024:18:38:35 +0530] "GET /TAPFOODS/images/restaurants/flavours.jpeg HTTP/1.1" 200 5239
0:0:0:0:0:0:0:1 - - [28/Aug/2024:18:38:35 +0530] "GET /TAPFOODS/images/restaurants/maharaj.jpeg HTTP/1.1" 200 6000
0:0:0:0:0:0:0:1 - - [28/Aug/2024:18:38:35 +0530] "GET /TAPFOODS/images/restaurants/taj.jpeg HTTP/1.1" 200 6414
0:0:0:0:0:0:0:1 - - [28/Aug/2024:18:38:37 +0530] "GET /TAPFOODS/menu?restaurantid=2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Aug/2024:18:38:37 +0530] "GET /TAPFOODS/menu.jsp HTTP/1.1" 200 5630
0:0:0:0:0:0:0:1 - - [28/Aug/2024:18:38:38 +0530] "GET /TAPFOODS/images/menu/panner.jpeg HTTP/1.1" 200 14659
0:0:0:0:0:0:0:1 - - [28/Aug/2024:18:38:38 +0530] "GET /TAPFOODS/images/menu/dosa.jpeg HTTP/1.1" 200 9086
0:0:0:0:0:0:0:1 - - [28/Aug/2024:18:38:38 +0530] "GET /TAPFOODS/images/menu/chettinad.jpeg HTTP/1.1" 200 11232
0:0:0:0:0:0:0:1 - - [28/Aug/2024:18:38:38 +0530] "GET /TAPFOODS/images/menu/prawns.jpeg HTTP/1.1" 200 12172
0:0:0:0:0:0:0:1 - - [28/Aug/2024:18:38:38 +0530] "GET /TAPFOODS/images/menu/aloogobi.jpeg HTTP/1.1" 200 11405
0:0:0:0:0:0:0:1 - - [28/Aug/2024:18:38:43 +0530] "POST /TAPFOODS/cart HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Aug/2024:18:38:43 +0530] "GET /TAPFOODS/cart.jsp HTTP/1.1" 200 1427
0:0:0:0:0:0:0:1 - - [28/Aug/2024:18:38:48 +0530] "POST /TAPFOODS/cart HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Aug/2024:18:38:48 +0530] "GET /TAPFOODS/cart.jsp HTTP/1.1" 200 1427
0:0:0:0:0:0:0:1 - - [28/Aug/2024:18:38:49 +0530] "POST /TAPFOODS/cart HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Aug/2024:18:38:49 +0530] "GET /TAPFOODS/cart.jsp HTTP/1.1" 200 1427
0:0:0:0:0:0:0:1 - - [28/Aug/2024:18:38:51 +0530] "POST /TAPFOODS/cart HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Aug/2024:18:38:51 +0530] "GET /TAPFOODS/cart.jsp HTTP/1.1" 200 1427
0:0:0:0:0:0:0:1 - - [28/Aug/2024:18:38:54 +0530] "POST /TAPFOODS/cart HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Aug/2024:18:38:54 +0530] "GET /TAPFOODS/cart.jsp HTTP/1.1" 200 347
0:0:0:0:0:0:0:1 - - [28/Aug/2024:18:39:06 +0530] "GET /TAPFOODS/orderHistory HTTP/1.1" 404 776
