127.0.0.1 - - [25/Aug/2024:18:01:37 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [25/Aug/2024:18:01:40 +0530] "GET /TAPFOODS/ HTTP/1.1" 200 839
0:0:0:0:0:0:0:1 - - [25/Aug/2024:18:01:40 +0530] "GET /TAPFOODS/images/tapvineethahomeimg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2024:18:01:40 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [25/Aug/2024:18:01:42 +0530] "GET /TAPFOODS/home.jsp HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [25/Aug/2024:18:01:46 +0530] "GET /TAPFOODS/home HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Aug/2024:18:01:46 +0530] "GET /TAPFOODS/home.jsp HTTP/1.1" 200 2557
0:0:0:0:0:0:0:1 - - [25/Aug/2024:18:01:46 +0530] "GET /TAPFOODS/images/restaurants/masala.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2024:18:01:46 +0530] "GET /TAPFOODS/images/restaurants/flavours.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2024:18:01:46 +0530] "GET /TAPFOODS/images/restaurants/maharaj.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2024:18:01:46 +0530] "GET /TAPFOODS/images/restaurants/namaste.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2024:18:01:46 +0530] "GET /TAPFOODS/images/restaurants/taj.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2024:18:01:50 +0530] "GET /TAPFOODS/menu?restaurantid=3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Aug/2024:18:01:50 +0530] "GET /TAPFOODS/menu.jsp HTTP/1.1" 200 5604
0:0:0:0:0:0:0:1 - - [25/Aug/2024:18:01:50 +0530] "GET /TAPFOODS/images/menu/dalmakani.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2024:18:01:50 +0530] "GET /TAPFOODS/images/menu/paalakpanner.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2024:18:01:50 +0530] "GET /TAPFOODS/images/menu/chole.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2024:18:01:50 +0530] "GET /TAPFOODS/images/menu/butterchicken.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2024:18:01:50 +0530] "GET /TAPFOODS/images/menu/rogan.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2024:18:02:01 +0530] "POST /TAPFOODS/cart HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Aug/2024:18:02:01 +0530] "GET /TAPFOODS/cart.jsp HTTP/1.1" 200 1422
0:0:0:0:0:0:0:1 - - [25/Aug/2024:18:02:10 +0530] "POST /TAPFOODS/cart HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Aug/2024:18:02:10 +0530] "GET /TAPFOODS/cart.jsp HTTP/1.1" 200 1423
0:0:0:0:0:0:0:1 - - [25/Aug/2024:18:02:13 +0530] "POST /TAPFOODS/checkout.jsp HTTP/1.1" 200 1182
